article_id,citations_year_1_exact,citations_year_2_exact,citations_first_2y_exact
W2992177798,1,14,15
W3132119234,5,12,17
W2970893163,2,9,11
W3128761526,7,8,15
W2991376923,8,13,21
W4393210638,7,15,22
W4386764732,1,13,14
W4394806261,10,13,23
W4387645724,0,7,7
W4415293539,10,0,10
W4403102321,2,5,7
W2990509330,6,10,16
W2891356706,7,8,15
W2898037577,5,6,11
W3008457011,3,10,13
W2792372022,5,2,7
W3000654271,12,6,18
W2957930526,2,7,9
W2970880722,5,5,10
W2889419388,0,10,10
W2931720389,4,5,9
W2897095465,5,4,9
W3157038034,4,12,16
W2982205573,3,7,10
W2994645587,3,5,8
W3110355496,3,6,9
W3110372574,2,6,8
W3002800149,4,9,13
W3148723980,5,7,12
W2791117521,3,5,8
W3161090736,2,5,7
W3213414507,0,2,2
W3030781873,5,4,9
W4296445820,4,4,8
W2962917435,0,4,4
W3174716876,3,5,8
W2936471335,2,2,4
W4221062451,5,9,14
W3004884486,2,5,7
W3000235265,1,3,4
W4320205593,2,5,7
W3206674196,0,1,1
W4312138180,2,6,8
W4386237785,3,8,11
W4376870291,0,5,5
W4403120855,8,3,11
W3147129162,0,4,4
W4283032919,0,4,4
W4387645721,0,8,8
W3045864443,1,4,5
W4205127460,2,1,3
W4388361421,1,6,7
W3082449468,0,1,1
W3204958672,0,0,0
W2803795255,6,8,14
W2991483588,7,21,28
W2883043045,2,19,21
W3047132972,11,16,27
W2902821147,9,7,16
W2961300642,2,12,14
W3158098044,5,17,22
W3129927893,10,7,17
W3080658254,2,10,12
W4392345796,6,21,27
W4226385219,6,6,12
W2900596031,2,7,9
W2945015578,0,8,8
W3036835703,0,8,8
W3005798041,4,7,11
W3009268949,1,5,6
W2918271095,2,7,9
W3141949678,0,8,8
W4307092555,4,3,7
W4379966339,1,5,6
W4298232786,0,0,0
W2909678677,578,1056,1634
W2895932308,176,323,499
W2912842935,194,435,629
W2788399735,30,92,122
W3084261954,105,167,272
W3120805833,22,70,92
W3015355998,52,91,143
W3007722773,25,59,84
W2804166887,17,30,47
W3009255960,25,73,98
W2959655143,15,41,56
W2805134523,3,9,12
W2939637759,10,22,32
W3112324415,14,20,34
W3205733568,11,19,30
W2792577625,8,8,16
W3011384873,11,17,28
W2800270984,4,16,20
W2898640596,5,13,18
W3170687972,16,20,36
W2995927230,7,9,16
W4395695576,34,61,95
W2806597393,4,17,21
W3024854497,4,11,15
W2886235251,2,5,7
W3005885965,8,22,30
W3189077708,7,16,23
W2781763066,3,10,13
W3043576974,10,7,17
W2896707552,3,5,8
W2970198497,7,10,17
W4390968015,17,23,40
W2944228173,4,5,9
W4281618598,6,16,22
W3130980590,2,6,8
W4392150887,6,21,27
W4327704359,5,12,17
W4313895256,2,7,9
W4405431389,15,1,16
W4403304485,9,6,15
W4412192291,8,0,8
W4393377934,1,2,3
W2899542509,3,15,18
W2807298932,2,5,7
W2906771000,5,6,11
W2886753370,2,3,5
W2926947163,0,2,2
W3205894988,6,8,14
W2792032460,3,3,6
W2906569072,1,1,2
W2985475101,1,12,13
W3022956839,2,6,8
W3031976173,4,2,6
W4385484027,9,8,17
W3117972062,11,1,12
W3184150716,4,3,7
W3101006606,3,5,8
W3170484543,2,6,8
W3213905105,5,7,12
W4297842326,1,5,6
W4387142202,8,5,13
W3160223674,2,2,4
W4313585868,1,3,4
W4386980393,6,7,13
W4400346616,10,6,16
W4400872529,9,7,16
W4403420176,11,3,14
W2990572166,3,2,5
W3160365795,2,3,5
W3214485377,2,1,3
W4213111911,0,4,4
W4403014857,7,7,14
W3133530885,0,3,3
W4385276957,3,5,8
W4311647901,1,1,2
W4405745024,0,2,2
W2793657315,2,4,6
W2784517883,4,2,6
W4401010491,4,4,8
W4387054868,0,3,3
W4382049678,1,2,3
W4391401165,1,2,3
W4403453988,4,1,5
W4403688212,4,0,4
W4390840499,1,2,3
W4406254218,2,0,2
W4407235310,1,1,2
W4411625979,1,0,1
W4416914040,1,0,1
W4251994522,1,1,2
W2971750099,0,1,1
W3134492929,0,0,0
W2895334373,2,0,2
W3017521093,1,2,3
W4237873524,0,0,0
W2950318968,0,1,1
W4285261832,0,0,0
W4311666142,0,0,0
W4366596915,0,1,1
W4403097737,1,0,1
W4405939605,1,0,1
W4405979644,1,0,1
W4407399456,1,0,1
W4410968834,1,0,1
W4411186113,1,0,1
W4413033469,1,0,1
W4285796133,0,0,0
W4386525015,0,1,1
W2911949591,0,0,0
W2959316156,1,0,1
W2911642034,0,0,0
W3002479026,122,104,226
W4240058343,0,26,26
W2799878667,20,30,50
W3002630908,80,47,127
W4245759706,3,50,53
W4243679046,24,45,69
W3035498951,92,49,141
W4255850124,12,20,32
W4246404983,4,24,28
W2819519685,0,22,22
W4254311546,30,37,67
W4220658517,21,30,51
W4243091587,0,30,30
W2813132695,0,22,22
W4213322979,20,17,37
W3091788256,0,9,9
W2858615040,0,23,23
W2913626996,5,21,26
W2875963462,0,20,20
W2939831515,2,12,14
W3133556021,24,13,37
W4386323046,37,43,80
W4319161996,23,39,62
W2858539905,1,22,23
W4206532816,5,31,36
W4206182351,7,31,38
W4386964211,31,36,67
W4234194974,0,3,3
